age,yearsmarried,children,religiousness_5,education,occupation_grade6,occupation_husb_grade6,rating_5,yrs_per_age,rate_x_yrs,weight,gender_male,gender_female,target
81.0,61.0,0.0,3.0,13.0,1.0,2.0,5.0,0.7530864197530864,305.0,-80.0,0.0,1.0,0.0
45.0,18.0,2.0,4.0,12.0,2.0,3.0,5.0,0.4,90.0,-80.0,0.0,1.0,0.0
44.0,27.0,1.0,1.0,11.0,1.0,1.0,5.0,0.6136363636363636,90.0,-80.0,1.0,0.0,0.0
32.0,15.0,2.0,4.0,12.0,4.0,2.0,5.0,0.46875,75.0,-80.0,0.0,1.0,1.0
35.0,18.0,3.0,5.0,12.0,4.0,1.0,5.0,0.5142857142857142,90.0,-80.0,0.0,1.0,0.0
70.0,43.0,0.0,5.0,12.0,3.0,3.0,5.0,0.6142857142857143,215.0,-80.0,1.0,0.0,0.0
46.0,26.0,0.0,5.0,16.0,4.0,2.0,5.0,0.5652173913043478,130.0,-80.0,0.0,1.0,0.0
44.0,20.0,4.0,5.0,13.0,3.0,1.0,3.0,0.4545454545454545,60.0,-80.0,1.0,0.0,0.0
48.0,25.0,0.0,2.0,14.0,1.0,3.0,5.0,0.5208333333333334,125.0,-80.0,1.0,0.0,0.0
40.0,22.0,2.0,2.0,13.0,2.0,2.0,5.0,0.55,110.0,-80.0,0.0,1.0,0.0
39.0,16.0,2.0,2.0,16.0,4.0,4.0,5.0,0.4102564102564102,80.0,-80.0,1.0,0.0,0.0
39.0,12.0,0.0,1.0,16.0,3.0,1.0,5.0,0.3076923076923077,90.0,-80.0,1.0,0.0,0.0
62.0,43.0,5.0,2.0,15.0,3.0,2.0,3.0,0.6935483870967742,129.0,-80.0,1.0,0.0,0.0
38.0,13.0,2.0,2.0,14.0,2.0,3.0,5.0,0.3421052631578947,65.0,-80.0,1.0,0.0,1.0
67.0,50.0,6.0,2.0,10.0,3.0,1.0,5.0,0.746268656716418,90.0,-80.0,0.0,1.0,0.0
62.0,38.0,1.0,1.0,14.0,3.0,3.0,3.0,0.6129032258064516,114.0,-80.0,1.0,0.0,1.0
34.0,11.0,3.0,1.0,12.0,5.0,4.0,5.0,0.3235294117647059,55.0,-80.0,1.0,0.0,1.0
72.0,52.0,0.0,4.0,8.0,2.0,1.0,3.0,0.7222222222222222,156.0,-80.0,1.0,0.0,0.0
35.0,9.0,1.0,2.0,19.0,6.0,1.0,5.0,0.2571428571428571,90.0,-80.0,0.0,1.0,0.0
69.0,35.0,0.0,5.0,12.0,5.0,3.0,3.0,0.5072463768115942,105.0,-80.0,1.0,0.0,0.0
38.0,16.0,0.0,4.0,16.0,3.0,4.0,5.0,0.4210526315789473,80.0,-80.0,0.0,1.0,1.0
75.0,44.0,5.0,5.0,11.0,3.0,2.0,5.0,0.5866666666666667,220.0,-80.0,1.0,0.0,0.0
76.0,58.0,1.0,3.0,12.0,4.0,4.0,5.0,0.7631578947368421,290.0,-80.0,0.0,1.0,0.0
